Name,Occurrence
Prudie,7
Queen,11
Queenie,11
Quincy,11
Rachael,8
Rachel,203
Rae,17
Rafael,6
Rafe,5
Raleigh,15
Ralph,407
Ramon,20
Ramona,6
Rance,5
Randall,14
Randle,6
Randolph,15
Ransom,16
Raphael,5
Ray,210
Raymond,230
Reba,9
Rebecca,259
Reece,6
Reed,9
Reese,8
Regina,43
Reginald,7
Reinhold,10
Rella,5
Rena,103
Rene,6
Rennie,5
Retta,23
Rettie,8
Reuben,73
Rex,13
Rhea,7
Rhoda,79
Rice,7
Rich,6
Richard,746
Richmond,11
Riley,54
Rilla,19
Rinda,7
Rita,21
Robert,2512
Roberta,35
Roderick,6
Rodney,12
Roger,32
Roland,38
Rolla,17
Rolland,7
Rollie,14
Rollin,7
Rollo,6
Roman,7
Rome,7
Rosa,542
Rosalia,8
Rosalie,40
Rosanna,15
Roscoe,81
Rose,886
Roseanna,5
Rosella,18
Rosemary,9
Rosena,7
Rosetta,45
Rosia,8
Rosie,140
Rosina,8
Ross,96
Roswell,8
Rosy,7
Rowena,13
Rowland,7
Roxana,5
Roxanna,8
Roxie,72
Roxy,7
Roy,521
Royal,27
Rozella,6
Rube,5
Ruben,34
Rubin,12
Ruby,136
Rudolf,5
Rudolph,52
Rudy,5
Ruel,5
Rufus,147
Rupert,11
Rush,10
Russel,5
Russell,73
Ruth,323
Rutherford,6
Ruthie,6
Sabina,5
Sada,5
Sadie,391
Sadye,5
Salina,6
Sallie,487
Sally,95
Sam,555
Samantha,15
Sameul,5
Sammie,12
Sampson,8
Samual,10
Samuel,1003
Samul,5
Sanders,10
Sandy,19
Sanford,33
Sara,180
Sarah,1410
Sarrah,7
Saul,15
Savannah,20
Savilla,5
Schuyler,5
Scott,48
Seaborn,6
Sebastian,10
Seldon,5
Selena,5
Selma,54
Sena,19
Serena,14
Seth,31
Severt,6
Seward,7
Seymour,10
Shade,7
Shelby,13
Shellie,5
Shelly,7
Shelton,10
Sherman,50
Shirley,20
Sibbie,5
Sibyl,6
Sid,11
Sidney,155
Silas,92
Sim,33
Simeon,19
Simon,78
Sinda,6
Smith,16
Sol,20
Soloman,5
Solomon,51
Solon,5
Sophia,179
Sophie,110
Sophronia,14
Spencer,33
Squire,10
